timestamp,signal,zscore,spread,spread_change,trade_return,cumulative_return,trade_start,trade_end,win_rate,profit_factor,trade_count,avg_trade_pnl,avg_win_pnl,avg_loss_pnl,avg_holding_minutes
2024-01-02 14:25:00,0,-0.6531137781197475,2131.99,,,,False,True,0.47368421052631576,0.6284153005464326,19.0,-0.3578947368421148,1.2777777777777273,-1.8299999999999728,5.0
2024-01-02 14:30:00,0,-0.7351500717575065,2131.67,-0.31999999999970896,0.0,0.0,False,False,,,,,,,
2024-01-02 14:35:00,0,-0.6788720973601265,2131.76,0.09000000000014552,-0.0,0.0,False,False,,,,,,,
2024-01-02 14:40:00,0,-0.5970795759859591,2131.94,0.1799999999998363,-0.0,0.0,False,False,,,,,,,
2024-01-02 14:45:00,0,-0.8415546891436486,2131.15,-0.7899999999999636,0.0,0.0,False,False,,,,,,,
2024-01-02 14:50:00,0,-0.8822944087998682,2130.97,-0.18000000000029104,0.0,0.0,False,False,,,,,,,
2024-01-02 14:55:00,0,-0.8242835652763995,2131.0899999999997,0.11999999999989086,-0.0,0.0,False,False,,,,,,,
2024-01-02 15:00:00,0,-0.987445771710504,2130.5800000000004,-0.5099999999993088,0.0,0.0,False,False,,,,,,,
2024-01-02 15:05:00,0,-0.689368397002732,2131.29,0.7099999999995816,-0.0,0.0,False,False,,,,,,,
2024-01-02 15:10:00,0,-0.7942519212607295,2130.95,-0.3400000000001455,0.0,0.0,False,False,,,,,,,
2024-01-02 15:15:00,0,-0.738563502348948,2131.0299999999997,0.07999999999992724,-0.0,0.0,False,False,,,,,,,
2024-01-02 15:20:00,0,-0.8495674243520335,2130.6800000000003,-0.3499999999994543,0.0,0.0,False,False,,,,,,,
2024-01-02 15:25:00,0,-1.1556771396045287,2129.8,-0.8800000000001091,0.0,0.0,False,False,,,,,,,
2024-01-02 15:30:00,0,-1.297290886234654,2129.32,-0.4800000000000182,0.0,0.0,False,False,,,,,,,
2024-01-02 15:35:00,0,-1.4012214169756507,2129.26,-0.05999999999994543,0.0,0.0,False,False,,,,,,,
2024-01-02 15:40:00,0,-1.4941137064723244,2129.1299999999997,-0.1300000000005639,0.0,0.0,False,False,,,,,,,
2024-01-02 15:45:00,0,-1.5728658226150338,2129.04,-0.08999999999969077,0.0,0.0,False,False,,,,,,,
2024-01-02 15:50:00,0,-1.5753156519276172,2129.16,0.11999999999989086,-0.0,0.0,False,False,,,,,,,
2024-01-02 15:55:00,0,-1.8722739186490736,2128.46,-0.6999999999998181,0.0,0.0,False,False,,,,,,,
2024-01-02 16:00:00,0,-1.6312796607555038,2129.0,0.5399999999999636,-0.0,0.0,False,False,,,,,,,
2024-01-03 09:30:00,0,-6.538727478070587,2102.63,-26.36999999999989,0.0,0.0,False,False,,,,,,,
2024-01-03 09:35:00,0,-5.044315192609714,2101.4,-1.2300000000000182,0.0,0.0,False,False,,,,,,,
2024-01-03 09:40:00,0,-4.123601686299939,2101.78,0.38000000000010914,-0.0,0.0,False,False,,,,,,,
2024-01-03 09:45:00,0,-3.367564172284649,2104.0099999999998,2.2299999999995634,-0.0,0.0,False,False,,,,,,,
2024-01-03 09:50:00,0,-2.9213796659855444,2105.21,1.2000000000002728,-0.0,0.0,False,False,,,,,,,
2024-01-03 09:55:00,0,-2.776572546176972,2104.26,-0.9499999999998181,0.0,0.0,False,False,,,,,,,
2024-01-03 10:00:00,0,-1.622384140900263,2114.13,9.86999999999989,-0.0,0.0,False,False,,,,,,,
2024-01-03 10:05:00,0,-1.9070152350602685,2110.56,-3.5700000000001637,0.0,0.0,False,False,,,,,,,
2024-01-03 10:10:00,0,-2.1437177720165117,2107.06,-3.5,0.0,0.0,False,False,,,,,,,
